ID,Call Failure,Complains,Subscription  Length,Charge Amount,Seconds of Use,Freq. of use,Freq. of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
1,3,no,10,2,1603,25,32,11,3,pre-paid,active,30,193.12,no
2,8,no,37,0,4255,65,0,13,2,pre-paid,active,25,194.4,yes
3,0,no,38,0,0,0,0,0,2,pre-paid,not-active,25,0,yes
4,10,no,36,0,2338,54,327,20,2,pre-paid,active,25,1579.14,yes
5,10,no,37,0,4083,60,0,31,1,pre-paid,active,15,227.865,yes
6,3,no,37,0,2278,52,0,29,1,pre-paid,active,15,128.15,yes
7,11,no,37,0,3660,76,0,24,2,pre-paid,active,25,168.12,yes
8,4,no,37,0,2245,33,253,14,3,pre-paid,active,30,1103.12,yes
9,13,no,36,1,9000,115,112,39,3,pre-paid,active,30,812.6,yes
10,7,no,37,0,13658,163,0,40,3,pre-paid,active,30,552.84,yes
11,7,no,37,0,4400,77,0,21,3,pre-paid,active,30,179.08,yes
12,6,no,37,0,5803,89,0,8,2,pre-paid,active,25,265.14,yes
13,9,no,37,0,2123,48,0,13,3,pre-paid,not-active,30,86.84,yes
14,25,no,37,2,15025,219,22,28,3,pre-paid,active,30,697.76,yes
15,4,no,37,0,2980,21,451,4,3,pre-paid,active,30,1924.04,yes
16,9,no,36,0,15370,176,118,26,2,pre-paid,active,25,1230.57,yes
17,3,no,36,0,6385,80,154,22,3,pre-paid,active,30,874.6,yes
18,0,no,36,0,760,8,0,7,2,pre-paid,not-active,25,34.56,yes
19,2,no,37,0,595,8,0,4,2,pre-paid,not-active,25,27.135,yes
20,0,yes,36,0,0,0,0,0,2,pre-paid,not-active,25,0,no
21,3,no,36,0,7393,121,352,39,2,pre-paid,active,25,1922.13,yes
22,7,no,36,0,11350,148,0,43,3,pre-paid,active,30,459.92,yes
23,8,no,36,0,6603,69,76,33,2,pre-paid,active,25,642.24,yes
24,23,no,32,0,840,41,0,13,2,pre-paid,not-active,25,39.645,no
25,21,no,35,7,10320,87,0,38,4,post-paid,active,45,260.175,yes
26,13,yes,35,0,5703,92,0,20,2,pre-paid,active,25,260.775,no
27,1,no,33,0,2725,16,0,10,3,pre-paid,active,30,109.64,yes
28,9,yes,34,0,2875,35,0,12,2,pre-paid,not-active,25,130.95,no
29,9,no,35,0,2153,38,2,27,3,pre-paid,not-active,30,95.64,no
30,0,no,35,0,0,0,0,0,2,pre-paid,not-active,25,0,no
31,1,no,35,0,1553,19,0,2,3,pre-paid,active,30,62.88,yes
32,3,no,32,0,6670,91,0,18,4,pre-paid,active,45,169.025,yes
33,0,no,35,0,513,1,0,3,4,pre-paid,not-active,45,12.85,no
34,0,no,35,0,0,0,0,0,4,pre-paid,active,45,0,yes
35,25,no,30,2,15960,232,0,76,2,pre-paid,active,25,728.64,yes
36,6,no,33,2,6850,110,239,29,2,post-paid,active,25,1388.7,yes
37,2,no,35,0,3603,76,0,24,2,pre-paid,active,25,165.555,yes
38,3,no,34,0,1550,38,6,16,3,pre-paid,not-active,30,87.52,yes
39,6,no,35,0,2665,47,143,19,2,pre-paid,active,25,765.54,yes
40,4,no,26,0,1200,30,161,7,2,post-paid,active,25,779.85,yes
41,4,no,25,0,1453,33,0,64,4,pre-paid,active,45,37.15,yes
42,11,no,26,0,585,19,0,3,2,pre-paid,not-active,25,27.18,yes
43,0,no,25,0,710,4,0,1,4,pre-paid,not-active,45,17.85,yes
44,10,no,24,0,1110,26,0,9,2,pre-paid,active,25,51.12,yes
45,2,no,24,0,3110,55,0,19,3,pre-paid,active,30,126.6,yes
46,2,no,17,0,1580,20,0,10,2,pre-paid,active,25,72,yes
47,16,no,16,0,6278,135,53,38,1,post-paid,active,15,644.215,yes
48,12,no,14,0,8818,165,41,36,4,pre-paid,active,45,327.075,yes
49,8,no,15,2,2738,39,0,15,3,pre-paid,active,30,111.08,yes
50,2,no,8,0,4275,34,183,6,3,pre-paid,active,30,904.36,yes
51,3,yes,8,0,1373,13,0,3,2,pre-paid,active,25,62.37,no
52,10,no,38,0,4560,72,14,20,3,pre-paid,active,30,241.28,yes
53,2,no,39,0,508,6,16,7,2,pre-paid,not-active,25,95.13,yes
54,12,no,37,0,2643,61,368,27,3,pre-paid,active,30,1580.16,yes
55,12,no,38,0,4388,67,10,38,1,pre-paid,active,15,300.025,yes
56,5,no,38,0,2583,59,11,36,1,pre-paid,active,15,205.81,yes
57,13,no,38,1,3965,83,41,31,3,pre-paid,active,30,325.92,yes
58,6,no,38,0,2550,40,294,21,3,pre-paid,active,30,1279.6,yes
59,15,no,37,2,9305,122,153,46,3,pre-paid,active,30,989.08,yes
60,9,no,38,0,13963,170,9,47,3,pre-paid,active,30,601.32,yes
61,9,no,38,1,4705,84,11,28,3,pre-paid,active,30,235.56,yes
62,8,no,38,0,6108,96,16,15,3,pre-paid,active,30,312.16,yes
63,11,yes,38,0,2428,55,17,20,3,pre-paid,not-active,30,167.32,yes
64,27,no,38,3,15330,226,63,35,3,pre-paid,active,30,874.24,yes
65,6,no,38,1,3285,28,492,11,3,pre-paid,active,30,2100.52,yes
66,11,no,37,0,15675,183,159,33,2,pre-paid,active,25,1429.11,yes
67,5,no,37,1,6690,87,195,29,3,pre-paid,active,30,1051.08,yes
68,2,no,37,0,1065,15,9,14,2,pre-paid,not-active,25,89.1,yes
69,4,no,38,0,900,15,22,11,3,pre-paid,not-active,30,124.6,yes
70,2,no,37,0,190,1,9,3,2,pre-paid,not-active,25,49.095,no
71,5,no,37,0,7698,128,393,46,2,pre-paid,active,25,2120.67,yes
72,9,no,37,1,11655,155,20,50,4,pre-paid,active,45,345.25,yes
73,10,no,37,1,6908,76,117,40,2,pre-paid,active,25,840.78,yes
74,25,yes,33,0,1145,48,25,20,2,pre-paid,not-active,25,166.185,no
75,23,no,36,8,10625,94,10,45,5,pre-paid,active,55,175.785,yes
76,15,no,36,1,6008,99,35,27,2,pre-paid,active,25,432.315,no
77,3,no,34,0,3030,23,9,17,3,pre-paid,active,30,158.12,yes
78,11,yes,35,0,3180,42,18,19,3,pre-paid,not-active,30,200.88,no
79,11,yes,36,0,2458,45,43,34,3,pre-paid,not-active,30,272.12,no
80,2,no,36,0,323,3,9,5,3,pre-paid,not-active,30,49.04,no
81,3,no,36,0,1858,26,9,9,3,pre-paid,active,30,111.36,yes
82,5,no,33,1,6975,98,23,25,5,pre-paid,active,55,140.595,yes
83,2,no,36,0,818,8,18,7,4,pre-paid,not-active,45,65.65,no
84,2,no,36,1,528,5,13,5,5,pre-paid,active,55,27.495,yes
85,27,no,31,3,16265,239,9,83,2,pre-paid,active,25,783.18,yes
86,8,no,34,3,7155,117,280,36,2,post-paid,active,25,1587.24,yes
87,4,no,36,0,3908,83,11,31,2,pre-paid,active,25,229.095,yes
88,5,no,35,0,1855,45,47,23,3,pre-paid,not-active,30,264,yes
89,8,no,36,0,2970,54,184,26,2,pre-paid,active,25,964.08,yes
90,6,yes,27,1,1505,37,202,14,2,post-paid,active,25,978.39,no
91,6,no,26,0,1758,40,39,71,4,pre-paid,active,45,142.45,yes
92,13,no,27,0,890,26,19,10,2,pre-paid,not-active,25,126.72,yes
93,2,no,26,0,1015,11,30,6,4,pre-paid,not-active,45,100.65,yes
94,12,no,25,0,1415,33,28,16,2,pre-paid,active,25,191.16,yes
95,4,no,25,0,3415,62,17,26,3,pre-paid,active,30,207.08,yes
96,4,no,18,0,1885,27,37,17,2,pre-paid,active,25,252.54,yes
97,18,no,17,1,6582,142,94,45,2,post-paid,active,25,725.58,yes
98,14,no,15,0,9122,172,82,43,4,pre-paid,active,45,437.35,yes
99,10,no,16,3,3042,46,40,22,3,pre-paid,active,30,283.52,yes
100,4,no,9,1,4580,41,224,13,3,pre-paid,active,30,1080.84,yes
101,5,no,9,1,1677,20,9,10,3,pre-paid,active,30,103.88,no
102,6,no,38,0,4180,70,0,14,3,pre-paid,active,30,170,yes
103,0,no,39,0,128,4,0,1,2,pre-paid,not-active,25,5.94,yes
104,8,no,37,0,2263,59,350,21,3,pre-paid,active,30,1492.88,yes
105,8,no,38,0,4008,65,0,32,1,pre-paid,active,15,224.015,yes
106,1,no,38,0,2203,57,0,30,1,pre-paid,active,15,124.3,yes
107,9,no,38,1,3585,81,23,25,3,pre-paid,active,30,238.64,yes
108,2,no,38,0,2170,38,276,15,3,pre-paid,active,30,1192.32,yes
109,11,no,37,2,8925,120,135,40,3,pre-paid,active,30,901.8,yes
110,5,no,38,0,13583,168,0,41,3,pre-paid,active,30,550.04,yes
111,5,no,38,1,4325,82,0,22,3,pre-paid,active,30,176.28,yes
112,4,no,38,0,5728,94,0,9,3,pre-paid,active,30,232.88,yes
113,7,no,38,0,2048,53,0,14,3,pre-paid,not-active,30,84.04,yes
114,23,no,38,3,14950,224,45,29,3,pre-paid,active,30,786.96,yes
115,2,no,38,1,2905,26,474,5,3,pre-paid,active,30,2013.24,yes
116,7,no,37,0,15295,181,141,27,2,pre-paid,active,25,1330.92,yes
117,1,no,37,1,6310,85,177,23,3,pre-paid,active,30,963.8,yes
118,0,no,37,0,685,13,0,8,2,pre-paid,not-active,25,31.41,yes
119,0,no,38,0,520,13,4,5,3,pre-paid,not-active,30,37.32,yes
